asset,date,role,t_star,t_trough,t_rebound_end,h_star,drop,reb,reason,t_trough_ref,t_trough_final
BTCUSDT,2021-06-12 00:00:00+00:00,quiet,2021-06-12 01:06:00+00:00,2021-06-12 01:35:00+00:00,2021-06-12 02:35:00+00:00,30,0.0232418062120562,0.2186743008147962,no minute meets per-horizon drop thresholds,2021-06-12 01:35:56.211000+00:00,2021-06-12 01:35:56.211000+00:00
BTCUSDT,2021-06-21 00:00:00+00:00,near_miss,2021-06-21 06:17:00+00:00,2021-06-21 06:45:00+00:00,2021-06-21 07:45:00+00:00,30,0.0651045477132495,0.4247535548187555,fails recovery: reb≈42% < 60%,2021-06-21 06:45:14.281000+00:00,2021-06-21 06:45:14.281000+00:00
BTCUSDT,2021-06-22 00:00:00+00:00,near_miss,2021-06-22 11:57:00+00:00,2021-06-22 12:27:00+00:00,2021-06-22 13:27:00+00:00,30,0.0567303405554009,0.5177486426219451,fails recovery: reb≈52% < 60%,2021-06-22 12:25:42.074000+00:00,2021-06-22 12:25:42.074000+00:00
BTCUSDT,2021-06-24 00:00:00+00:00,quiet,2021-06-24 15:27:00+00:00,2021-06-24 15:56:00+00:00,2021-06-24 16:56:00+00:00,30,0.0192622101824554,0.9770621502917994,no minute meets per-horizon drop thresholds,2021-06-24 15:56:54.243000+00:00,2021-06-24 15:56:54.243000+00:00
BTCUSDT,2021-07-09 00:00:00+00:00,quiet,2021-07-09 00:17:00+00:00,2021-07-09 00:44:00+00:00,2021-07-09 01:44:00+00:00,30,0.0135378391305987,0.5155084060055773,no minute meets per-horizon drop thresholds,2021-07-09 00:44:20.314000+00:00,2021-07-09 00:44:20.314000+00:00
BTCUSDT,2021-07-22 00:00:00+00:00,quiet,2021-07-22 09:27:00+00:00,2021-07-22 09:43:00+00:00,2021-07-22 10:43:00+00:00,30,0.0135173141587083,0.6166682010679446,no minute meets per-horizon drop thresholds,2021-07-22 09:43:11.167000+00:00,2021-07-22 09:43:11.167000+00:00
BTCUSDT,2021-07-26 00:00:00+00:00,pos,2021-07-26 01:02:00+00:00,2021-07-26 01:03:00+00:00,2021-07-26 02:03:00+00:00,5,0.0531358960053953,1.030845007295234,,2021-07-26 01:03:41.890000+00:00,2021-07-26 01:03:41.890000+00:00
BTCUSDT,2021-07-31 00:00:00+00:00,quiet,2021-07-31 05:02:00+00:00,2021-07-31 05:31:00+00:00,2021-07-31 06:31:00+00:00,30,0.0144051787705445,0.976872850520862,no minute meets per-horizon drop thresholds,2021-07-31 05:31:51.813000+00:00,2021-07-31 05:31:51.813000+00:00
BTCUSDT,2021-08-12 00:00:00+00:00,quiet,2021-08-12 12:11:00+00:00,2021-08-12 12:30:00+00:00,2021-08-12 13:30:00+00:00,30,0.0151282530027847,0.716048837893501,no minute meets per-horizon drop thresholds,2021-08-12 12:30:15.728000+00:00,2021-08-12 12:30:15.728000+00:00
BTCUSDT,2021-08-15 00:00:00+00:00,quiet,2021-08-15 07:29:00+00:00,2021-08-15 07:56:00+00:00,2021-08-15 08:56:00+00:00,30,0.0171883542034257,0.5023113254949207,no minute meets per-horizon drop thresholds,2021-08-15 07:56:53.832000+00:00,2021-08-15 07:56:53.832000+00:00
BTCUSDT,2021-08-27 00:00:00+00:00,quiet,2021-08-27 00:06:00+00:00,2021-08-27 00:21:00+00:00,2021-08-27 01:21:00+00:00,30,0.014621856779152,1.8087968011632132,no minute meets per-horizon drop thresholds,2021-08-27 00:21:17.389000+00:00,2021-08-27 00:21:17.389000+00:00
BTCUSDT,2021-09-01 00:00:00+00:00,quiet,2021-09-01 19:07:00+00:00,2021-09-01 19:36:00+00:00,2021-09-01 20:36:00+00:00,30,0.0112332146538533,0.6170872148463328,no minute meets per-horizon drop thresholds,2021-09-01 19:36:25.281000+00:00,2021-09-01 19:36:25.281000+00:00
BTCUSDT,2021-09-03 00:00:00+00:00,quiet,2021-09-03 10:43:00+00:00,2021-09-03 11:02:00+00:00,2021-09-03 12:02:00+00:00,30,0.0176910883939429,0.8236072485870609,no minute meets per-horizon drop thresholds,2021-09-03 11:02:37.180000+00:00,2021-09-03 11:02:37.180000+00:00
BTCUSDT,2021-09-07 00:00:00+00:00,pos,2021-09-07 14:40:00+00:00,2021-09-07 15:10:00+00:00,2021-09-07 16:10:00+00:00,30,0.1418354040304931,0.8496241969062702,,2021-09-07 15:09:53.688000+00:00,2021-09-07 15:09:53.688000+00:00
BTCUSDT,2021-09-13 00:00:00+00:00,near_miss,2021-09-13 13:57:00+00:00,2021-09-13 14:19:00+00:00,2021-09-13 15:19:00+00:00,30,0.0644887971616715,0.2976907227529367,fails recovery: reb≈30% < 60%,2021-09-13 14:19:47.499000+00:00,2021-09-13 14:19:47.499000+00:00
BTCUSDT,2021-09-16 00:00:00+00:00,quiet,2021-09-16 02:55:00+00:00,2021-09-16 03:24:00+00:00,2021-09-16 04:24:00+00:00,30,0.0128003832797143,1.563398863136628,no minute meets per-horizon drop thresholds,2021-09-16 03:24:26.088000+00:00,2021-09-16 03:24:26.088000+00:00
BTCUSDT,2021-09-21 00:00:00+00:00,pos,2021-09-21 00:00:00+00:00,2021-09-21 00:22:00+00:00,2021-09-21 01:22:00+00:00,30,0.0649581917687014,0.6803378772742076,,2021-09-21 00:22:44.127000+00:00,2021-09-21 00:22:44.127000+00:00
BTCUSDT,2021-10-05 00:00:00+00:00,quiet,2021-10-05 14:16:00+00:00,2021-10-05 14:40:00+00:00,2021-10-05 15:40:00+00:00,30,0.0140506307967552,0.8906864826610004,no minute meets per-horizon drop thresholds,2021-10-05 14:40:46.542000+00:00,2021-10-05 14:40:46.542000+00:00
BTCUSDT,2021-10-17 00:00:00+00:00,quiet,2021-10-17 19:59:00+00:00,2021-10-17 20:21:00+00:00,2021-10-17 21:21:00+00:00,30,0.0257186611649671,0.664647152549342,no minute meets per-horizon drop thresholds,2021-10-17 20:21:56.233000+00:00,2021-10-17 20:21:56.233000+00:00
BTCUSDT,2021-10-24 00:00:00+00:00,quiet,2021-10-24 12:22:00+00:00,2021-10-24 12:25:00+00:00,2021-10-24 13:25:00+00:00,5,0.0134940262256184,1.061513636419202,no minute meets per-horizon drop thresholds,2021-10-24 12:25:43.792000+00:00,2021-10-24 12:25:43.792000+00:00
BTCUSDT,2021-10-28 00:00:00+00:00,pos,2021-10-28 18:12:00+00:00,2021-10-28 18:39:00+00:00,2021-10-28 19:39:00+00:00,30,0.054777460741877,0.848674040074252,,2021-10-28 18:39:58.676000+00:00,2021-10-28 18:39:58.676000+00:00
BTCUSDT,2021-11-02 00:00:00+00:00,quiet,2021-11-02 00:23:00+00:00,2021-11-02 00:36:00+00:00,2021-11-02 01:36:00+00:00,15,0.0123280036506178,1.243964002061557,no minute meets per-horizon drop thresholds,2021-11-02 00:36:16.497000+00:00,2021-11-02 00:36:16.497000+00:00
BTCUSDT,2021-11-27 00:00:00+00:00,quiet,2021-11-27 20:27:00+00:00,2021-11-27 20:56:00+00:00,2021-11-27 21:56:00+00:00,30,0.0156522210316174,0.6301231412639424,no minute meets per-horizon drop thresholds,2021-11-27 20:56:32.900000+00:00,2021-11-27 20:56:32.900000+00:00
BTCUSDT,2021-11-29 00:00:00+00:00,quiet,2021-11-29 09:30:00+00:00,2021-11-29 09:56:00+00:00,2021-11-29 10:56:00+00:00,30,0.0119159442755499,1.0553425619713768,no minute meets per-horizon drop thresholds,2021-11-29 09:56:06.080000+00:00,2021-11-29 09:56:06.080000+00:00
BTCUSDT,2021-12-04 00:00:00+00:00,pos,2021-12-04 05:00:00+00:00,2021-12-04 05:27:00+00:00,2021-12-04 06:27:00+00:00,30,0.1680967377740804,0.6951700896697184,,2021-12-04 05:27:55.622000+00:00,2021-12-04 05:27:55.622000+00:00
BTCUSDT,2021-12-07 00:00:00+00:00,quiet,2021-12-07 01:22:00+00:00,2021-12-07 01:39:00+00:00,2021-12-07 02:39:00+00:00,30,0.018580233686924,0.5436420491510805,no minute meets per-horizon drop thresholds,2021-12-07 01:39:38.995000+00:00,2021-12-07 01:39:38.995000+00:00
BTCUSDT,2021-12-19 00:00:00+00:00,quiet,2021-12-19 14:01:00+00:00,2021-12-19 14:14:00+00:00,2021-12-19 15:14:00+00:00,15,0.0256650199023467,0.562546949589265,no minute meets per-horizon drop thresholds,2021-12-19 14:14:33.368000+00:00,2021-12-19 14:14:33.368000+00:00
BTCUSDT,2021-12-29 00:00:00+00:00,quiet,2021-12-29 23:00:00+00:00,2021-12-29 23:21:00+00:00,2021-12-29 23:59:00+00:00,30,0.0257056348331685,0.4758104943090787,no minute meets per-horizon drop thresholds,2021-12-29 23:21:49.384000+00:00,2021-12-29 23:21:49.384000+00:00
BTCUSDT,2022-01-04 00:00:00+00:00,quiet,2022-01-04 18:24:00+00:00,2022-01-04 18:53:00+00:00,2022-01-04 19:53:00+00:00,30,0.0240200464137455,0.8526982255918437,no minute meets per-horizon drop thresholds,2022-01-04 18:53:06.469000+00:00,2022-01-04 18:53:06.469000+00:00
BTCUSDT,2022-01-19 00:00:00+00:00,quiet,2022-01-19 03:31:00+00:00,2022-01-19 03:52:00+00:00,2022-01-19 04:52:00+00:00,30,0.016699303060664,0.5647691871990956,no minute meets per-horizon drop thresholds,2022-01-19 03:52:50.264000+00:00,2022-01-19 03:52:50.264000+00:00
BTCUSDT,2022-01-21 00:00:00+00:00,near_miss,2022-01-21 21:22:00+00:00,2022-01-21 21:51:00+00:00,2022-01-21 22:51:00+00:00,30,0.0511252896183009,0.5354508543827873,fails recovery: reb≈54% < 60%,2022-01-21 21:51:59.552000+00:00,2022-01-21 21:51:59.552000+00:00
BTCUSDT,2022-01-31 00:00:00+00:00,quiet,2022-01-31 00:31:00+00:00,2022-01-31 01:00:00+00:00,2022-01-31 02:00:00+00:00,30,0.0231525585102967,0.1700286532951272,no minute meets per-horizon drop thresholds,2022-01-31 01:00:05.116000+00:00,2022-01-31 01:00:05.116000+00:00
BTCUSDT,2022-02-01 00:00:00+00:00,quiet,2022-02-01 09:11:00+00:00,2022-02-01 09:35:00+00:00,2022-02-01 10:35:00+00:00,30,0.0204315046166111,0.2043530531483255,no minute meets per-horizon drop thresholds,2022-02-01 09:35:07.769000+00:00,2022-02-01 09:35:07.769000+00:00
BTCUSDT,2022-02-07 00:00:00+00:00,quiet,2022-02-07 00:00:00+00:00,2022-02-07 00:27:00+00:00,2022-02-07 01:27:00+00:00,30,0.0192706037279438,0.3658149112194605,no minute meets per-horizon drop thresholds,2022-02-07 00:27:00.041000+00:00,2022-02-07 00:27:00.041000+00:00
BTCUSDT,2022-02-26 00:00:00+00:00,quiet,2022-02-26 08:21:00+00:00,2022-02-26 08:51:00+00:00,2022-02-26 09:51:00+00:00,30,0.0181447366653596,0.267363755972581,no minute meets per-horizon drop thresholds,2022-02-26 08:50:53.187000+00:00,2022-02-26 08:50:53.187000+00:00
BTCUSDT,2022-03-18 00:00:00+00:00,quiet,2022-03-18 00:32:00+00:00,2022-03-18 00:59:00+00:00,2022-03-18 01:59:00+00:00,30,0.0171672445698768,0.475592568866111,no minute meets per-horizon drop thresholds,2022-03-18 00:59:02.388000+00:00,2022-03-18 00:59:02.388000+00:00
BTCUSDT,2022-03-24 00:00:00+00:00,quiet,2022-03-24 00:17:00+00:00,2022-03-24 00:31:00+00:00,2022-03-24 01:31:00+00:00,15,0.0093485595447336,1.2861533123497426,no minute meets per-horizon drop thresholds,2022-03-24 00:31:21.389000+00:00,2022-03-24 00:31:21.389000+00:00
BTCUSDT,2022-03-27 00:00:00+00:00,quiet,2022-03-27 20:38:00+00:00,2022-03-27 20:46:00+00:00,2022-03-27 21:46:00+00:00,10,0.0115226514766333,1.7172238426445214,no minute meets per-horizon drop thresholds,2022-03-27 20:46:43.122000+00:00,2022-03-27 20:46:43.122000+00:00
BTCUSDT,2022-04-02 00:00:00+00:00,quiet,2022-04-02 17:52:00+00:00,2022-04-02 18:12:00+00:00,2022-04-02 19:12:00+00:00,30,0.0173901693354222,0.642819985632542,no minute meets per-horizon drop thresholds,2022-04-02 18:12:16.843000+00:00,2022-04-02 18:12:16.843000+00:00
BTCUSDT,2022-04-04 00:00:00+00:00,quiet,2022-04-04 00:05:00+00:00,2022-04-04 00:27:00+00:00,2022-04-04 01:27:00+00:00,30,0.0148279423723674,0.5207622256757373,no minute meets per-horizon drop thresholds,2022-04-04 00:27:26.182000+00:00,2022-04-04 00:27:26.182000+00:00
BTCUSDT,2022-04-29 00:00:00+00:00,quiet,2022-04-29 16:34:00+00:00,2022-04-29 16:56:00+00:00,2022-04-29 17:56:00+00:00,30,0.0159570164685545,0.4824792221544751,no minute meets per-horizon drop thresholds,2022-04-29 16:56:33.392000+00:00,2022-04-29 16:56:33.392000+00:00
BTCUSDT,2022-05-11 00:00:00+00:00,pos,2022-05-11 12:26:00+00:00,2022-05-11 12:51:00+00:00,2022-05-11 13:51:00+00:00,30,0.0817556201447039,1.0763669907484246,,2022-05-11 12:51:56.333000+00:00,2022-05-11 12:51:56.333000+00:00
BTCUSDT,2022-05-17 00:00:00+00:00,quiet,2022-05-17 18:09:00+00:00,2022-05-17 18:22:00+00:00,2022-05-17 19:22:00+00:00,15,0.0257090397816557,1.0826899320568233,no minute meets per-horizon drop thresholds,2022-05-17 18:22:08.704000+00:00,2022-05-17 18:22:08.704000+00:00
BTCUSDT,2022-05-20 00:00:00+00:00,quiet,2022-05-20 14:36:00+00:00,2022-05-20 15:05:00+00:00,2022-05-20 16:05:00+00:00,30,0.0241730636428235,0.2452697387488112,no minute meets per-horizon drop thresholds,2022-05-20 15:05:12.137000+00:00,2022-05-20 15:05:12.137000+00:00
BTCUSDT,2022-05-23 00:00:00+00:00,quiet,2022-05-23 18:47:00+00:00,2022-05-23 19:16:00+00:00,2022-05-23 20:16:00+00:00,30,0.0286435732120524,0.2616619004063866,no minute meets per-horizon drop thresholds,2022-05-23 19:16:51.582000+00:00,2022-05-23 19:16:51.582000+00:00
BTCUSDT,2022-06-01 00:00:00+00:00,quiet,2022-06-01 20:02:00+00:00,2022-06-01 20:31:00+00:00,2022-06-01 21:31:00+00:00,30,0.026513802433566,0.590383940654605,no minute meets per-horizon drop thresholds,2022-06-01 20:31:44.629000+00:00,2022-06-01 20:31:44.629000+00:00
BTCUSDT,2022-06-08 00:00:00+00:00,quiet,2022-06-08 03:06:00+00:00,2022-06-08 03:36:00+00:00,2022-06-08 04:36:00+00:00,30,0.0350599300982199,0.4635490024782047,no minute meets per-horizon drop thresholds,2022-06-08 03:35:59.648000+00:00,2022-06-08 03:35:59.648000+00:00
BTCUSDT,2022-06-10 00:00:00+00:00,quiet,2022-06-10 12:25:00+00:00,2022-06-10 12:33:00+00:00,2022-06-10 13:33:00+00:00,10,0.0224999627237197,0.5316250644282459,no minute meets per-horizon drop thresholds,2022-06-10 12:33:26.172000+00:00,2022-06-10 12:33:26.172000+00:00
BTCUSDT,2022-06-18 00:00:00+00:00,near_miss,2022-06-18 06:42:00+00:00,2022-06-18 06:55:00+00:00,2022-06-18 07:55:00+00:00,15,0.0632038526231517,0.3720959077202144,fails recovery: reb≈37% < 60%,2022-06-18 06:55:43.001000+00:00,2022-06-18 06:55:43.001000+00:00
BTCUSDT,2022-07-04 00:00:00+00:00,quiet,2022-07-04 15:07:00+00:00,2022-07-04 15:36:00+00:00,2022-07-04 16:36:00+00:00,30,0.0138852021317703,0.5266417050691232,no minute meets per-horizon drop thresholds,2022-07-04 15:36:57.855000+00:00,2022-07-04 15:36:57.855000+00:00
BTCUSDT,2022-07-13 00:00:00+00:00,near_miss,2022-07-13 12:29:00+00:00,2022-07-13 12:42:00+00:00,2022-07-13 13:42:00+00:00,15,0.0570503547977097,0.3838045710789673,fails recovery: reb≈38% < 60%,2022-07-13 12:42:26.383000+00:00,2022-07-13 12:42:26.383000+00:00
BTCUSDT,2022-07-15 00:00:00+00:00,quiet,2022-07-15 02:24:00+00:00,2022-07-15 02:54:00+00:00,2022-07-15 03:54:00+00:00,30,0.0146748887298453,0.4791719907998964,no minute meets per-horizon drop thresholds,2022-07-15 02:53:54.224000+00:00,2022-07-15 02:53:54.224000+00:00
